Date,Description,Amount,Running Bal.
04/01/2026,RENT ACH PAYMENT,-1200.00,2400.00
04/02/2026,SPOTIFY PREMIUM,-9.99,2390.01
04/02/2026,STARBUCKS STORE 04892,-6.45,2383.56
04/03/2026,NETFLIX MONTHLY,-15.49,2368.07
04/03/2026,TRADER JOES 142,-87.32,2280.75
04/04/2026,DIRECT DEPOSIT PAYROLL,3200.00,5480.75
04/04/2026,UBER EATS ORDER,-24.67,5456.08
04/05/2026,AMAZON MARKETPLACE,-34.99,5421.09
04/05/2026,LYFT RIDE SHARE,-12.50,5408.59
04/06/2026,CVS PHARMACY 2841,-18.73,5389.86
04/07/2026,CHIPOTLE ONLINE ORDER,-14.25,5375.61
04/07/2026,WHOLE FOODS MARKET,-62.18,5313.43
04/08/2026,ADOBE SYSTEMS,-54.99,5258.44
04/08/2026,FITNESS CENTER DUES,-49.00,5209.44
04/09/2026,UBER EATS DELIVERY,-31.20,5178.24
04/10/2026,TARGET STORES,-73.44,5104.80
04/11/2026,ELECTRIC COMPANY PMT,-92.00,5012.80
04/12/2026,MCDONALDS,-8.93,5003.87
04/12/2026,WALGREENS PHARMACY,-22.50,4981.37
04/13/2026,AMAZON PRIME ORDER,-149.00,4832.37
04/14/2026,DOORDASH DELIVERY,-27.80,4804.57
04/14/2026,METRO PARKING GARAGE,-15.00,4789.57
04/15/2026,TRANSFER SENT,-50.00,4739.57
04/16/2026,OPENAI CHATGPT,-20.00,4719.57
04/17/2026,TRADER JOES 142,-55.60,4663.97
04/18/2026,UBER RIDES,-18.75,4645.22
04/19/2026,GRUBHUB DELIVERY,-38.50,4606.72
04/20/2026,WALMART STORES,-44.22,4562.50
04/21/2026,HULU STREAMING,-17.99,4544.51
04/22/2026,WATER AND SEWER PMT,-35.00,4509.51
