Transaction Date,Post Date,Description,Category,Type,Amount,Memo
04/01/2026,04/02/2026,RENT PAYMENT ACH,Bills & Utilities,Payment,-1200.00,
04/02/2026,04/03/2026,SPOTIFY USA,Entertainment,Sale,-9.99,
04/02/2026,04/03/2026,STARBUCKS #04892,Food & Drink,Sale,-6.45,
04/03/2026,04/04/2026,NETFLIX.COM,Entertainment,Sale,-15.49,
04/03/2026,04/04/2026,TRADER JOE S #142,Groceries,Sale,-87.32,
04/04/2026,04/05/2026,DIRECT DEPOSIT PAYROLL,Income,Payment,3200.00,EMPLOYER PAYROLL
04/04/2026,04/05/2026,UBER* EATS 3948201,Food & Drink,Sale,-24.67,
04/05/2026,04/06/2026,AMAZON.COM 4827XPQR,Shopping,Sale,-34.99,
04/05/2026,04/06/2026,LYFT *RIDE 8293,Travel,Sale,-12.50,
04/06/2026,04/07/2026,CVS PHARMACY 2841,Health & Wellness,Sale,-18.73,
04/07/2026,04/08/2026,CHIPOTLE MEXICAN GRI,Food & Drink,Sale,-14.25,
04/07/2026,04/08/2026,WHOLE FOODS MARKET,Groceries,Sale,-62.18,
04/08/2026,04/09/2026,ADOBE CREATIVE CLOUD,Entertainment,Sale,-54.99,
04/08/2026,04/09/2026,GYM MEMBERSHIP AUTO,Health & Wellness,Sale,-49.00,
04/09/2026,04/10/2026,UBER* EATS 5029123,Food & Drink,Sale,-31.20,
04/10/2026,04/11/2026,TARGET 00012849,Shopping,Sale,-73.44,
04/11/2026,04/12/2026,ELECTRIC UTILITY PMT,Bills & Utilities,Payment,-92.00,
04/12/2026,04/13/2026,MCDONALDS F23904,Food & Drink,Sale,-8.93,
04/12/2026,04/13/2026,WALGREENS 3920,Health & Wellness,Sale,-22.50,
04/13/2026,04/14/2026,AMAZON.COM 5930ABCD,Shopping,Sale,-149.00,
04/14/2026,04/15/2026,DOORDASH DASHPASS,Food & Drink,Sale,-27.80,
04/14/2026,04/15/2026,PARKING 45TH ST MET,Auto & Transport,Sale,-15.00,
04/15/2026,04/16/2026,VENMO PAYMENT SENT,Transfer,Payment,-50.00,
04/16/2026,04/17/2026,CHATGPT SUBSCRIPTION,Entertainment,Sale,-20.00,
04/17/2026,04/18/2026,TRADER JOE S #142,Groceries,Sale,-55.60,
04/18/2026,04/19/2026,UBER* TRIP 6748291,Travel,Sale,-18.75,
04/19/2026,04/20/2026,GRUBHUB ORDER 847201,Food & Drink,Sale,-38.50,
04/20/2026,04/21/2026,WALMART SUPERCENTER,Shopping,Sale,-44.22,
04/21/2026,04/22/2026,HULU SUBSCRIPTION,Entertainment,Sale,-17.99,
04/22/2026,04/23/2026,WATER UTILITY SVC,Bills & Utilities,Payment,-35.00,
