Date,Description,Amount
2026-03-01,WHOLE FOODS MARKET,-87.43
2026-03-02,NETFLIX.COM,-15.99
2026-03-03,SHELL GAS STATION,-52.10
2026-03-04,CHIPOTLE MEXICAN GRILL,-13.75
2026-03-05,AMAZON PRIME MEMBERSHIP,-14.99
2026-03-06,STARBUCKS #4821,-6.45
2026-03-07,TRADER JOES #142,-64.21
2026-03-08,UBER TRIP,-18.30
2026-03-09,CVS PHARMACY,-23.14
2026-03-10,SPOTIFY PREMIUM,-9.99
2026-03-11,TARGET STORE #1092,-112.87
2026-03-12,MCDONALDS #3847,-9.25
2026-03-13,COSTCO WHOLESALE,-187.64
2026-03-14,LYFT RIDE,-22.50
2026-03-15,PLANET FITNESS,-24.99
2026-03-16,WHOLE FOODS MARKET,-91.12
2026-03-17,CHEVRON GAS,-48.70
2026-03-18,PANERA BREAD,-14.80
2026-03-19,HULU SUBSCRIPTION,-17.99
2026-03-20,WALGREENS #5512,-31.44
2026-03-21,STARBUCKS #4821,-7.15
2026-03-22,AMAZON.COM PURCHASE,-43.99
2026-03-23,CHIPOTLE MEXICAN GRILL,-11.95
2026-03-24,DIRECT DEPOSIT EMPLOYER,3200.00
2026-03-25,AT&T WIRELESS,-85.00
2026-03-26,UBER EATS,-34.20
2026-03-27,HOME DEPOT #0524,-67.80
2026-03-28,NETFLIX.COM,-15.99
2026-03-29,TRADER JOES #142,-58.90
2026-03-30,SHELL GAS STATION,-55.40
2026-03-31,STARBUCKS #4821,-6.75
2026-04-01,WHOLE FOODS MARKET,-79.33
2026-04-02,SPOTIFY PREMIUM,-9.99
2026-04-03,AMAZON PRIME MEMBERSHIP,-14.99
2026-04-04,MCDONALDS #3847,-8.50
2026-04-05,CVS PHARMACY,-18.22
2026-04-06,PLANET FITNESS,-24.99
2026-04-07,CHIPOTLE MEXICAN GRILL,-13.25
2026-04-08,DIRECT DEPOSIT EMPLOYER,3200.00
2026-04-09,UBER TRIP,-15.80
2026-04-10,COSTCO WHOLESALE,-204.50
2026-04-11,STARBUCKS #4821,-8.20
2026-04-12,NETFLIX.COM,-15.99
2026-04-13,TARGET STORE #1092,-89.45
2026-04-14,CHEVRON GAS,-51.30
2026-04-15,WHOLE FOODS MARKET,-95.67
2026-04-16,PANERA BREAD,-16.40
2026-04-17,HULU SUBSCRIPTION,-17.99
2026-04-18,LYFT RIDE,-19.90
2026-04-19,AMAZON.COM PURCHASE,-29.99
2026-04-20,AT&T WIRELESS,-85.00
2026-04-21,TRADER JOES #142,-71.15
2026-04-22,STARBUCKS #4821,-6.95
2026-04-23,UBER EATS,-27.80
2026-04-24,WALGREENS #5512,-44.10
2026-04-25,HOME DEPOT #0524,-123.45
2026-04-26,SHELL GAS STATION,-49.20
2026-04-27,CHIPOTLE MEXICAN GRILL,-12.50
2026-04-28,NETFLIX.COM,-15.99
2026-04-29,WHOLE FOODS MARKET,-83.77
2026-04-30,STARBUCKS #4821,-7.50
2026-05-01,SPOTIFY PREMIUM,-9.99
2026-05-02,AMAZON PRIME MEMBERSHIP,-14.99
2026-05-03,PLANET FITNESS,-24.99
2026-05-04,MCDONALDS #3847,-10.75
2026-05-05,DIRECT DEPOSIT EMPLOYER,3200.00
2026-05-06,CHEVRON GAS,-57.80
2026-05-07,TRADER JOES #142,-66.40
2026-05-08,STARBUCKS #4821,-6.25
2026-05-09,UBER TRIP,-21.40
2026-05-10,CVS PHARMACY,-27.88
2026-05-11,COSTCO WHOLESALE,-198.30
2026-05-12,NETFLIX.COM,-15.99
2026-05-13,TARGET STORE #1092,-145.60
2026-05-14,CHIPOTLE MEXICAN GRILL,-14.00
